symbol,sessions,first_session,last_session,annualized_vol,mean_abs_return,total_log_return
USO,4964,2006-04-10,2025-12-31,0.363598,0.016167,-2.062821
UUP,4741,2007-03-01,2025-12-31,0.081284,0.003726,0.274125
VCSH,4051,2009-11-23,2025-12-31,0.028786,0.001027,0.465129
VEA,4639,2007-07-26,2025-12-31,0.215837,0.008958,0.833733
VGK,5031,2006-01-03,2025-12-31,0.232412,0.009717,1.156587
VIG,4949,2006-05-02,2025-12-31,0.171293,0.00707,1.871834
VLUE,3197,2013-04-18,2025-12-31,0.184787,0.007745,1.328636
VNQ,5031,2006-01-03,2025-12-31,0.29259,0.011139,1.212159
VTI,5031,2006-01-03,2025-12-31,0.195817,0.008012,2.040717
VTV,5031,2006-01-03,2025-12-31,0.192898,0.007732,1.714849
VUG,5031,2006-01-03,2025-12-31,0.206958,0.008673,2.404487
VWO,5031,2006-01-03,2025-12-31,0.265234,0.010974,1.078384
XBI,5008,2006-02-06,2025-12-31,0.305775,0.014308,2.060181
XLB,5031,2006-01-03,2025-12-31,0.235948,0.010273,1.514089
XLC,1895,2018-06-19,2025-12-31,0.225545,0.009867,0.929456
XLE,5031,2006-01-03,2025-12-31,0.300938,0.012811,1.11293
XLF,5031,2006-01-03,2025-12-31,0.297904,0.011273,1.136167
XLI,5031,2006-01-03,2025-12-31,0.212039,0.009014,1.975395
XLK,5031,2006-01-03,2025-12-31,0.227914,0.009731,2.861656
XLP,5031,2006-01-03,2025-12-31,0.142916,0.006235,1.725654
XLRE,2573,2015-10-08,2025-12-31,0.205262,0.008751,0.644271
XLU,5031,2006-01-03,2025-12-31,0.188542,0.008061,1.673474
XLV,5031,2006-01-03,2025-12-31,0.169154,0.007344,1.915811
XLY,5031,2006-01-03,2025-12-31,0.223316,0.009599,2.2298
XME,4913,2006-06-22,2025-12-31,0.382265,0.01702,1.080574
XRT,4913,2006-06-22,2025-12-31,0.270566,0.012087,1.782243
